sepal_length,sepal_width,petal_length,petal_width,species,ID,color
5.1,3.5,1.4,0.2,setosa,0,red
4.9,3,1.4,0.2,setosa,1,red
4.7,3.2,1.3,0.2,setosa,2,red
4.6,3.1,1.5,0.2,setosa,3,red
5,3.6,1.4,0.2,setosa,4,red
5.4,3.9,1.7,0.4,setosa,5,red
4.6,3.4,1.4,0.3,setosa,6,red
5,3.4,1.5,0.2,setosa,7,red
4.4,2.9,1.4,0.2,setosa,8,red
4.9,3.1,1.5,0.1,setosa,9,red
5.4,3.7,1.5,0.2,setosa,10,red
4.8,3.4,1.6,0.2,setosa,11,red
4.8,3,1.4,0.1,setosa,12,Red
4.3,3,1.1,0.1,setosa,13,
5.8,4,1.2,0.2,setosa,14,U
5.7,4.4,1.5,0.4,setosa,15,red
5.4,3.9,1.3,0.4,setosa,16,purple
5.1,3.5,1.4,0.3,setosa,17,purple
5.7,3.8,1.7,0.3,setosa,18,purple
5.1,3.8,1.5,0.3,setosa,19,purple
5.4,3.4,1.7,0.2,setosa,20,purple
5.1,3.7,1.5,0.4,setosa,21,purple
4.6,3.6,1,0.2,setosa,22,purple
5.1,3.3,1.7,0.5,setosa,23,purple
4.8,3.4,1.9,0.2,setosa,24,NaN
5,3,1.6,0.2,setosa,25,purple
5,3.4,1.6,0.4,setosa,26,purple
5.2,3.5,1.5,0.2,setosa,27,purple
5.2,3.4,1.4,0.2,setosa,28,purple
4.7,3.2,1.6,0.2,setosa,29,purple
4.8,3.1,1.6,0.2,setosa,30,purple
5.4,3.4,1.5,0.4,setosa,31,blue
5.2,4.1,1.5,0.1,setosa,32,blue
5.5,4.2,1.4,0.2,setosa,33,blue
4.9,3.1,1.5,0.1,setosa,34,blue
5,3.2,1.2,0.2,setosa,35,blue
5.5,3.5,1.3,0.2,setosa,36,blue
4.9,3.1,1.5,0.1,setosa,37,blue
4.4,3,1.3,0.2,setosa,38,blue
5.1,3.4,1.5,0.2,setosa,39,blue
5,3.5,1.3,0.3,setosa,40,blue
4.5,2.3,1.3,0.3,setosa,41,blue
4.4,3.2,1.3,0.2,setosa,42,blue
5,3.5,1.6,0.6,setosa,43,blue
5.1,3.8,1.9,0.4,setosa,44,blue
4.8,3,1.4,0.3,setosa,45,None
5.1,3.8,1.6,0.2,setosa,46,Blue
4.6,3.2,1.4,0.2,setosa,47,Bluee
5.3,3.7,1.5,0.2,setosa,48,nan
5,3.3,1.4,0.2,setosa,49,pink
7,3.2,4.7,1.4,versicolor,50,pink
6.4,3.2,4.5,1.5,versicolor,51,pink
6.9,3.1,4.9,1.5,versicolor,52,pink
5.5,2.3,4,1.3,versicolor,53,pink
6.5,2.8,4.6,1.5,versicolor,54,pink
5.7,2.8,4.5,1.3,versicolor,55,pink
6.3,3.3,4.7,1.6,versicolor,56,pink
4.9,2.4,3.3,1,versicolor,57,pink
6.6,2.9,4.6,1.3,versicolor,58,pink
5.2,2.7,3.9,1.4,versicolor,59,pink
5,2,3.5,1,versicolor,60,pink
5.9,3,4.2,1.5,versicolor,61,pink
6,2.2,4,1,versicolor,62,pink
6.1,2.9,4.7,1.4,versicolor,63,red
5.6,2.9,3.6,1.3,versicolor,64,blue
6.7,3.1,4.4,1.4,versicolor,65,red
5.6,3,4.5,1.5,versicolor,66,pink
5.8,2.7,4.1,1,versicolor,67,pink
6.2,2.2,4.5,1.5,versicolor,68,pink
5.6,2.5,3.9,1.1,versicolor,69,pink
5.9,3.2,4.8,1.8,versicolor,70,red
6.1,2.8,4,1.3,versicolor,71,blue
6.3,2.5,4.9,1.5,versicolor,72,red
6.1,2.8,4.7,1.2,versicolor,73,pink
6.4,2.9,4.3,1.3,versicolor,74,pink
6.6,3,4.4,1.4,versicolor,75,pink
6.8,2.8,4.8,1.4,versicolor,76,pink
6.7,3,5,1.7,versicolor,77,red
6,2.9,4.5,1.5,versicolor,78,blue
5.7,2.6,3.5,1,versicolor,79,red
5.5,2.4,3.8,1.1,versicolor,80,pink
5.5,2.4,3.7,1,versicolor,81,Nan
5.8,2.7,3.9,1.2,versicolor,82,
6,2.7,5.1,1.6,versicolor,83,pink
5.4,3,4.5,1.5,versicolor,84,pink
6,3.4,4.5,1.6,versicolor,85,pink
6.7,3.1,4.7,1.5,versicolor,86,pink
6.3,2.3,4.4,1.3,versicolor,87,red
5.6,3,4.1,1.3,versicolor,88,blue
5.5,2.5,4,1.3,versicolor,89,red
5.5,2.6,4.4,1.2,versicolor,90,blue
6.1,3,4.6,1.4,versicolor,91,blue
5.8,2.6,4,1.2,versicolor,92,blue
5,2.3,3.3,1,versicolor,93,blue
5.6,2.7,4.2,1.3,versicolor,94,blue
5.7,3,4.2,1.2,versicolor,95,blue
5.7,2.9,4.2,1.3,versicolor,96,blue
6.2,2.9,4.3,1.3,versicolor,97,blue
5.1,2.5,3,1.1,versicolor,98,blue
5.7,2.8,4.1,1.3,versicolor,99,blue
6.3,3.3,6,2.5,virginica,100,blue
5.8,2.7,5.1,1.9,virginica,101,blue
7.1,3,5.9,2.1,virginica,102,blue
6.3,2.9,5.6,1.8,virginica,103,blue
6.5,3,5.8,2.2,virginica,104,blue
7.6,3,6.6,2.1,virginica,105,blue
4.9,2.5,4.5,1.7,virginica,106,blue
7.3,2.9,6.3,1.8,virginica,107,none
6.7,2.5,5.8,1.8,virginica,108,blue
7.2,3.6,6.1,2.5,virginica,109,blue
6.5,3.2,5.1,2,virginica,110,blue
6.4,2.7,5.3,1.9,virginica,111,blue
6.8,3,5.5,2.1,virginica,112,blue
5.7,2.5,5,2,virginica,113,blue
5.8,2.8,5.1,2.4,virginica,114,blue
6.4,3.2,5.3,2.3,virginica,115,blue
6.4,3.2,5.3,2.3,virginica,115,blue
6.5,3,5.5,1.8,virginica,116,blue
6.5,3,5.5,1.8,virginica,116,blue
7.7,3.8,6.7,2.2,virginica,117,blue
7.7,2.6,6.9,2.3,virginica,118,blue
6,2.2,5,1.5,virginica,119,blue
6.9,3.2,5.7,2.3,virginica,120,blue
5.6,2.8,4.9,2,virginica,121,blue
7.7,2.8,6.7,2,virginica,122,blue
6.3,2.7,4.9,1.8,virginica,123,blue
6.7,3.3,5.7,2.1,virginica,124,red
7.2,3.2,6,1.8,virginica,125,red
6.2,2.8,4.8,1.8,virginica,126,red
6.1,3,4.9,1.8,virginica,127,red
6.4,2.8,5.6,2.1,virginica,128,red
7.2,3,5.8,1.6,virginica,129,pink
7.2,3,5.8,1.6,virginica,129,pink
7.2,3,5.8,1.6,virginica,129,pink
7.4,2.8,6.1,1.9,virginica,130,pink
7.4,2.8,6.1,1.9,virginica,130,pink
7.9,3.8,6.4,2,virginica,131,purple
6.4,2.8,5.6,2.2,virginica,132,purple
6.3,2.8,5.1,1.5,virginica,133,purple
6.1,2.6,5.6,1.4,virginica,134,purple
7.7,3,6.1,2.3,virginica,135,purple
6.3,3.4,5.6,2.4,virginica,136,purple
6.4,3.1,5.5,1.8,virginica,137,purple
6,3,4.8,1.8,virginica,138,purple
6.9,3.1,5.4,2.1,virginica,139,purple
6.7,3.1,5.6,2.4,virginica,140,Red
6.9,3.1,5.1,2.3,virginica,141,purple
5.8,2.7,5.1,1.9,virginica,142,purple
6.8,3.2,5.9,2.3,virginica,143,purple
6.7,3.3,5.7,2.5,virginica,144,purple
6.7,3,5.2,2.3,virginica,145,purple
6.3,2.5,5,1.9,virginica,146,purple
6.5,3,5.2,2,virginica,147,purple
6.2,3.4,5.4,2.3,virginica,148,purple
5.9,3,5.1,1.8,virginica,149,purple
